"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"598.2400000211783","img/image_stim_h.png","72","image-keyboard-response","19","49552","0.0-8.0-1.5","92q5cu","Sun Feb 07 2021 11:07:28 GMT+0100 (Central European Standard Time)","2021","2","7","11","7","28","mw73","47","male","right","67","60","3","1","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","20","50813","0.0-8.0-0.6","92q5cu","Sun Feb 07 2021 11:07:28 GMT+0100 (Central European Standard Time)","2021","2","7","11","7","28","mw73","47","male","right","67","60","3","1","","","","","fixation","","","",""
"746.1749999783933","img/image_stim_f_stroop.png","70","image-keyboard-response","21","51561","0.0-8.0-1.6","92q5cu","Sun Feb 07 2021 11:07:28 GMT+0100 (Central European Standard Time)","2021","2","7","11","7","28","mw73","47","male","right","67","60","3","1","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","22","52331","0.0-8.0-0.7","92q5cu","Sun Feb 07 2021 11:07:28 GMT+0100 (Central European Standard Time)","2021","2","7","11","7","28","mw73","47","male","right","67","60","3","1","","","","","fixation","","","",""
"639.6199999726377","img/image_stim_h_stroop.png","72","image-keyboard-response","23","52972","0.0-8.0-1.7","92q5cu","Sun Feb 07 2021 11:07:28 GMT+0100 (Central European Standard Time)","2021","2","7","11","7","28","mw73","47","male","right","67","60","3","1","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","24","54975","0.0-8.0-0.8","92q5cu","Sun Feb 07 2021 11:07:28 GMT+0100 (Central European Standard Time)","2021","2","7","11","7","28","mw73","47","male","right","67","60","3","1","","","","","fixation","","","",""
"601.3849999872036","img/image_stim_f_stroop.png","70","image-keyboard-response","25","55577","0.0-8.0-1.8","92q5cu","Sun Feb 07 2021 11:07:28 GMT+0100 (Central European Standard Time)","2021","2","7","11","7","28","mw73","47","male","right","67","60","3","1","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","26","56080","0.0-8.0-0.9","92q5cu","Sun Feb 07 2021 11:07:28 GMT+0100 (Central European Standard Time)","2021","2","7","11","7","28","mw73","47","male","right","67","60","3","1","","","","","fixation","","","",""
"621.1350000230595","img/image_stim_h_stroop.png","72","image-keyboard-response","27","56702","0.0-8.0-1.9","92q5cu","Sun Feb 07 2021 11:07:28 GMT+0100 (Central European Standard Time)","2021","2","7","11","7","28","mw73","47","male","right","67","60","3","1","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","28","57957","0.0-8.0-0.10","92q5cu","Sun Feb 07 2021 11:07:28 GMT+0100 (Central European Standard Time)","2021","2","7","11","7","28","mw73","47","male","right","67","60","3","1","","","","","fixation","","","",""
"644.3599999765866","img/image_stim_h.png","72","image-keyboard-response","29","58603","0.0-8.0-1.10","92q5cu","Sun Feb 07 2021 11:07:28 GMT+0100 (Central European Standard Time)","2021","2","7","11","7","28","mw73","47","male","right","67","60","3","1","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","30","59360","0.0-8.0-0.11","92q5cu","Sun Feb 07 2021 11:07:28 GMT+0100 (Central European Standard Time)","2021","2","7","11","7","28","mw73","47","male","right","67","60","3","1","","","","","fixation","","","",""
"529.660000000149","img/image_stim_f.png","70","image-keyboard-response","31","59891","0.0-8.0-1.11","92q5cu","Sun Feb 07 2021 11:07:28 GMT+0100 (Central European Standard Time)","2021","2","7","11","7","28","mw73","47","male","right","67","60","3","1","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","32","61904","0.0-8.0-0.12","92q5cu","Sun Feb 07 2021 11:07:28 GMT+0100 (Central European Standard Time)","2021","2","7","11","7","28","mw73","47","male","right","67","60","3","1","","","","","fixation","","","",""
"524.6400000178255","img/image_stim_h.png","72","image-keyboard-response","33","62430","0.0-8.0-1.12","92q5cu","Sun Feb 07 2021 11:07:28 GMT+0100 (Central European Standard Time)","2021","2","7","11","7","28","mw73","47","male","right","67","60","3","1","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","34","64433","0.0-8.0-0.13","92q5cu","Sun Feb 07 2021 11:07:28 GMT+0100 (Central European Standard Time)","2021","2","7","11","7","28","mw73","47","male","right","67","60","3","1","","","","","fixation","","","",""
"646.8850000528619","img/image_stim_h_stroop.png","72","image-keyboard-response","35","65081","0.0-8.0-1.13","92q5cu","Sun Feb 07 2021 11:07:28 GMT+0100 (Central European Standard Time)","2021","2","7","11","7","28","mw73","47","male","right","67","60","3","1","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","36","65582","0.0-8.0-0.14","92q5cu","Sun Feb 07 2021 11:07:28 GMT+0100 (Central European Standard Time)","2021","2","7","11","7","28","mw73","47","male","right","67","60","3","1","","","","","fixation","","","",""
"635.8500000205822","img/image_stim_f.png","70","image-keyboard-response","37","66219","0.0-8.0-1.14","92q5cu","Sun Feb 07 2021 11:07:28 GMT+0100 (Central European Standard Time)","2021","2","7","11","7","28","mw73","47","male","right","67","60","3","1","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","38","66975","0.0-8.0-0.15","92q5cu","Sun Feb 07 2021 11:07:28 GMT+0100 (Central European Standard Time)","2021","2","7","11","7","28","mw73","47","male","right","67","60","3","1","","","","","fixation","","","",""
