"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","24","56803","0.0-8.0-0.8","lcyhsr","Sun Feb 07 2021 11:05:11 GMT+0100 (CET)","2021","2","7","11","5","11","mw73","47","male","right","71","64","3","1","","","","","fixation","","","",""
"731","img/image_stim_f.png","70","image-keyboard-response","25","57537","0.0-8.0-1.8","lcyhsr","Sun Feb 07 2021 11:05:11 GMT+0100 (CET)","2021","2","7","11","5","11","mw73","47","male","right","71","64","3","1","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","26","58540","0.0-8.0-0.9","lcyhsr","Sun Feb 07 2021 11:05:11 GMT+0100 (CET)","2021","2","7","11","5","11","mw73","47","male","right","71","64","3","1","","","","","fixation","","","",""
"1306.9999999999927","img/image_stim_f_stroop.png","72","image-keyboard-response","27","59849","0.0-8.0-1.9","lcyhsr","Sun Feb 07 2021 11:05:11 GMT+0100 (CET)","2021","2","7","11","5","11","mw73","47","male","right","71","64","3","1","","","","","test","fear","happy","f","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","28","60602","0.0-8.0-0.10","lcyhsr","Sun Feb 07 2021 11:05:11 GMT+0100 (CET)","2021","2","7","11","5","11","mw73","47","male","right","71","64","3","1","","","","","fixation","","","",""
"777.9999999999927","img/image_stim_h.png","72","image-keyboard-response","29","61383","0.0-8.0-1.10","lcyhsr","Sun Feb 07 2021 11:05:11 GMT+0100 (CET)","2021","2","7","11","5","11","mw73","47","male","right","71","64","3","1","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","30","62386","0.0-8.0-0.11","lcyhsr","Sun Feb 07 2021 11:05:11 GMT+0100 (CET)","2021","2","7","11","5","11","mw73","47","male","right","71","64","3","1","","","","","fixation","","","",""
"700","img/image_stim_h_stroop.png","72","image-keyboard-response","31","63089","0.0-8.0-1.11","lcyhsr","Sun Feb 07 2021 11:05:11 GMT+0100 (CET)","2021","2","7","11","5","11","mw73","47","male","right","71","64","3","1","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","32","64092","0.0-8.0-0.12","lcyhsr","Sun Feb 07 2021 11:05:11 GMT+0100 (CET)","2021","2","7","11","5","11","mw73","47","male","right","71","64","3","1","","","","","fixation","","","",""
"832.0000000000073","img/image_stim_f.png","70","image-keyboard-response","33","64927","0.0-8.0-1.12","lcyhsr","Sun Feb 07 2021 11:05:11 GMT+0100 (CET)","2021","2","7","11","5","11","mw73","47","male","right","71","64","3","1","","","","","test","fear","fear","f","true"
