speaker,gloss,date
CHI,a xxx .,28-OCT-1963
MOT,no what's that over there ?,28-OCT-1963
CHI,a xxx door .,28-OCT-1963
MOT,that's not a door .,28-OCT-1963
MOT,what's that ?,28-OCT-1963
CHI,door .,28-OCT-1963
MOT,what's that on the floor ?,28-OCT-1963
MOT,what's this ?,28-OCT-1963
CHI,a sink .,28-OCT-1963
MOT,yeah .,28-OCT-1963
MOT,ah what's this ?,28-OCT-1963
CHI,a yyy Mummy a yyy .,28-OCT-1963
ROG,what's this ?,28-OCT-1963
CHI,-um .,28-OCT-1963
CHI,floor .,28-OCT-1963
ROG,floor .,28-OCT-1963
ROG,what's this ?,28-OCT-1963
CHI,a door .,28-OCT-1963
ROG,yes .,28-OCT-1963
CHI,xxx .,28-OCT-1963
MOT,it's a door .,28-OCT-1963
CHI,xxx .,28-OCT-1963
ROG,what's this ?,28-OCT-1963
CHI,a spoon .,28-OCT-1963
ROG,a spoon .,28-OCT-1963
ROG,what's this ?,28-OCT-1963
CHI,a cut .,28-OCT-1963
MOT,Sarah .,28-OCT-1963
MOT,she knows what it does .,28-OCT-1963
MOT,what's this ?,28-OCT-1963
MOT,she knows what it does .,28-OCT-1963
MOT,what's this ?,28-OCT-1963
CHI,a book .,28-OCT-1963
MOT,book .,28-OCT-1963
GLO,www .,28-OCT-1963
MOT,go get your other book .,28-OCT-1963
COU,0 .,28-OCT-1963
CHI,0 .,28-OCT-1963
GLO,what's that ?,28-OCT-1963
CHI,a Bobo .,28-OCT-1963
GLO,oh it's a Bobo .,28-OCT-1963
CHI,no .,28-OCT-1963
MOT,let me see .,28-OCT-1963
CHI,dab dab dab .,28-OCT-1963
CHI,bob bob bob bob .,28-OCT-1963
MOT,read the book ?,28-OCT-1963
CHI,xxx .,28-OCT-1963
MOT,who's this ?,28-OCT-1963
CHI,a mommy .,28-OCT-1963
MOT,Mommy .,28-OCT-1963
MOT,and who's this ?,28-OCT-1963
CHI,Daddy .,28-OCT-1963
MOT,Daddy .,28-OCT-1963
MOT,and who's this ?,28-OCT-1963
CHI,yyy .,28-OCT-1963
MOT,who's this ?,28-OCT-1963
CHI,-um .,28-OCT-1963
MOT,who's this ?,28-OCT-1963
CHI,-uh baby .,28-OCT-1963
MOT,baby yeah .,28-OCT-1963
MOT,what's this ?,28-OCT-1963
CHI,I don't know .,28-OCT-1963
MOT,this one over here .,28-OCT-1963
MOT,what's this one ?,28-OCT-1963
CHI,a shoe .,28-OCT-1963
MOT,shoe .,28-OCT-1963
MOT,and what's this ?,28-OCT-1963
CHI,a chair .,28-OCT-1963
CHI,chew .,28-OCT-1963
MOT,yeah that's a shoe .,28-OCT-1963
MOT,what's this ?,28-OCT-1963
CHI,-um oh a ch a eye .,28-OCT-1963
MOT,what's this here ?,28-OCT-1963
CHI,-um hat .,28-OCT-1963
MOT,hat .,28-OCT-1963
MOT,what's this ?,28-OCT-1963
CHI,xxx .,28-OCT-1963
MOT,say it loud .,28-OCT-1963
MOT,say it loud .,28-OCT-1963
ROG,I can't hear you .,28-OCT-1963
ROG,I can't hear you .,28-OCT-1963
ROG,don't come over .,28-OCT-1963
ROG,shout .,28-OCT-1963
MOT,come here .,28-OCT-1963
