speaker,gloss,date
MOT,hey Donnie what was it she said to me this morning when I put the slip on her ?,04-MAR-1964
FAT,pretty nice .,04-MAR-1964
MOT,oh yeah pretty nice .,04-MAR-1964
CHI,Hugabye .,04-MAR-1964
CHI,Hugabye .,04-MAR-1964
CHI,Hugabye .,04-MAR-1964
FAT,Huckleberry .,04-MAR-1964
CHI,xxx .,04-MAR-1964
FAT,where's Huckleberry ?,04-MAR-1964
FAT,Huckleberry's the dog .,04-MAR-1964
FAT,Yogi_Bear's the bear .,04-MAR-1964
CHI,bear .,04-MAR-1964
FAT,and Jinx is a cat .,04-MAR-1964
CHI,cat .,04-MAR-1964
FAT,and those are bunnies .,04-MAR-1964
CHI,those bunnies .,04-MAR-1964
FAT,and Boo_Boo is a bear .,04-MAR-1964
CHI,Booby_Bear .,04-MAR-1964
CHI,xxx apple .,04-MAR-1964
FAT,Huckleberry's got apples ?,04-MAR-1964
CHI,two !,04-MAR-1964
CHI,one two three four,04-MAR-1964
CHI,bokc .,04-MAR-1964
FAT,what's a Pixie ?,04-MAR-1964
CHI,yyy .,04-MAR-1964
FAT,he's a mouse .,04-MAR-1964
CHI,mouse .,04-MAR-1964
CHI,a mouse .,04-MAR-1964
FAT,the mouse likes cheese .,04-MAR-1964
FAT,do you like cheese ?,04-MAR-1964
CHI,yes .,04-MAR-1964
MOT,what does the mouse say ?,04-MAR-1964
CHI,meowo .,04-MAR-1964
MOT,no .,04-MAR-1964
FAT,no .,04-MAR-1964
MOT,squeako squeako .,04-MAR-1964
CHI,yyy eee Huckleberry .,04-MAR-1964
CHI,Huckleberry now .,04-MAR-1964
FAT,Huckleberry's a fireman .,04-MAR-1964
CHI,xxx !,04-MAR-1964
CHI,swing .,04-MAR-1964
FAT,Jinx is gonna swing ?,04-MAR-1964
CHI,I got swing out .,04-MAR-1964
CHI,outdoor swings .,04-MAR-1964
CHI,xxx .,04-MAR-1964
FAT,Pixie Pixie's got a slide a slide .,04-MAR-1964
FAT,do you like a slide ?,04-MAR-1964
CHI,0 .,04-MAR-1964
FAT,do you like two slides ?,04-MAR-1964
CHI,two slides .,04-MAR-1964
FAT,do you slide out in the backyard ?,04-MAR-1964
CHI,out back yard .,04-MAR-1964
CHI,xxx .,04-MAR-1964
MOT,you slide on the slide down at dancing school too .,04-MAR-1964
CHI,yes .,04-MAR-1964
MOT,-um .,04-MAR-1964
CHI,wow .,04-MAR-1964
CHI,I fall down boom .,04-MAR-1964
MOT,yeah you always fall down and go boom boom on that slide don't you .,04-MAR-1964
CHI,we bad boom boom floor .,04-MAR-1964
MOT,yeah bad floor .,04-MAR-1964
CHI,xxx bad floor .,04-MAR-1964
CHI,xxx Tape Location 821,04-MAR-1964
FAT,what's he got ?,04-MAR-1964
CHI,xxx .,04-MAR-1964
FAT,got lollipop .,04-MAR-1964
CHI,lollipop .,04-MAR-1964
FAT,see ?,04-MAR-1964
CHI,I I love lollipop .,04-MAR-1964
CHI,I got lollipop I like I like xxx .,04-MAR-1964
MOT,you like to taste it !,04-MAR-1964
FAT,you like to taste the lollipop ?,04-MAR-1964
CHI,yes .,04-MAR-1964
FAT,did you tell Courtney you knocked down the tv yesterday ?,04-MAR-1964
CHI,I knock tv yesterday .,04-MAR-1964
FAT,the tv hit you ?,04-MAR-1964
CHI,right here .,04-MAR-1964
FAT,right there .,04-MAR-1964
FAT,where ?,04-MAR-1964
CHI,up .,04-MAR-1964
CHI,-uh bu bad .,04-MAR-1964
CHI,tv .,04-MAR-1964
CHI,it bad tv .,04-MAR-1964
FAT,bad tv .,04-MAR-1964
MOT,are you sure it isn't a bad Sarah ?,04-MAR-1964
CHI,no .,04-MAR-1964
FAT,were you changing the station ?,04-MAR-1964
CHI,yes .,04-MAR-1964
FAT,and did you fall off your chair ?,04-MAR-1964
CHI,0 .,04-MAR-1964
FAT,and the tv fell off the table ?,04-MAR-1964
CHI,xxx Huckleberry .,04-MAR-1964
CHI,balloon .,04-MAR-1964
FAT,balloons .,04-MAR-1964
CHI,I got balloon a my house .,04-MAR-1964
CHI,I got balloons .,04-MAR-1964
CHI,me xxx got balloons .,04-MAR-1964
FAT,see .,04-MAR-1964
FAT,Joann colored the balloons .,04-MAR-1964
FAT,this one is blue .,04-MAR-1964
CHI,that blue .,04-MAR-1964
FAT,this is green .,04-MAR-1964
CHI,green .,04-MAR-1964
FAT,this is aqua .,04-MAR-1964
CHI,aqua .,04-MAR-1964
FAT,yeah .,04-MAR-1964
FAT,and the mouse's ears's red .,04-MAR-1964
CHI,red .,04-MAR-1964
CHI,I got balloon a my house .,04-MAR-1964
FAT,you got a balloon at the house ?,04-MAR-1964
FAT,where's the balloon ?,04-MAR-1964
FAT,in your room ?,04-MAR-1964
MOT,at Nana's .,04-MAR-1964
FAT,oh in Nana's house ?,04-MAR-1964
CHI,Nana house .,04-MAR-1964
CHI,a two .,04-MAR-1964
FAT,two balloons ?,04-MAR-1964
CHI,two balloons .,04-MAR-1964
FAT,what color is your dress ?,04-MAR-1964
CHI,blue .,04-MAR-1964
FAT,red .,04-MAR-1964
MOT,pink !,04-MAR-1964
CHI,pink .,04-MAR-1964
MOT,where you getting red !,04-MAR-1964
CHI,red .,04-MAR-1964
MOT,Sarah what color is Courtney's blouse ?,04-MAR-1964
MOT,what color is it ?,04-MAR-1964
COU,what color xxx .,04-MAR-1964
CHI,red !,04-MAR-1964
CHI,I got Christmas tree .,04-MAR-1964
FAT,a Christmas tree .,04-MAR-1964
CHI,I got Christmas tree my house .,04-MAR-1964
CHI,right here .,04-MAR-1964
FAT,it's all_gone .,04-MAR-1964
CHI,all_gone .,04-MAR-1964
CHI,all_gone .,04-MAR-1964
FAT,you'll have a Christmas tree next Christmas .,04-MAR-1964
CHI,next Christmas .,04-MAR-1964
FAT,when Santa_Claus comes again .,04-MAR-1964
CHI,key xxx .,04-MAR-1964
FAT,where you going now ?,04-MAR-1964
CHI,go see Santa_Claus .,04-MAR-1964
CHI,Santa_Claus .,04-MAR-1964
CHI,xxx Santa_Claus .,04-MAR-1964
CHI,xxx Claus .,04-MAR-1964
FAT,Santa_Claus went back to the to the North_Pole .,04-MAR-1964
CHI,where ?,04-MAR-1964
FAT,that's where he lives ?,04-MAR-1964
FAT,way up north .,04-MAR-1964
FAT,where all the snow is .,04-MAR-1964
FAT,he makes toys all xxx long .,04-MAR-1964
CHI,there !,04-MAR-1964
CHI,xxx there for ?,04-MAR-1964
MOT,I don't know .,04-MAR-1964
FAT,see the snowman .,04-MAR-1964
CHI,xxx .,04-MAR-1964
FAT,with his blue hat on ?,04-MAR-1964
FAT,and holding a broom ?,04-MAR-1964
CHI,xxx .,04-MAR-1964
FAT,what did you hit him for ?,04-MAR-1964
FAT,a little Indian girl ?,04-MAR-1964
CHI,Indian .,04-MAR-1964
CHI,-uh -uh -uh !,04-MAR-1964
FAT,what're you hitting her for ?,04-MAR-1964
CHI,xxx .,04-MAR-1964
FAT,don't you like her ?,04-MAR-1964
CHI,no .,04-MAR-1964
FAT,why ?,04-MAR-1964
CHI,xxx mouth .,04-MAR-1964
FAT,it's not a mouse .,04-MAR-1964
FAT,it's a little girl .,04-MAR-1964
CHI,here little girl .,04-MAR-1964
CHI,xxx .,04-MAR-1964
CHI,xxx oh .,04-MAR-1964
MOT,www .,04-MAR-1964
FAT,that's a bunny .,04-MAR-1964
FAT,see the big ears ?,04-MAR-1964
CHI,xxx .,04-MAR-1964
FAT,and the mouse has round ears .,04-MAR-1964
CHI,oh !,04-MAR-1964
CHI,a bite me .,04-MAR-1964
MOT,he bite you ?,04-MAR-1964
FAT,what's the mouse say now ?,04-MAR-1964
FAT,remember ?,04-MAR-1964
FAT,what's the mouse say ?,04-MAR-1964
CHI,I hit him .,04-MAR-1964
FAT,"he says +""/.",04-MAR-1964
FAT,"+"" squeako squeako .",04-MAR-1964
CHI,I hit him .,04-MAR-1964
FAT,that's not no !,04-MAR-1964
MOT,no you don't hit anybody .,04-MAR-1964
FAT,do you want me to hit your baby ?,04-MAR-1964
CHI,yes .,04-MAR-1964
FAT,why ?,04-MAR-1964
CHI,hit my baby .,04-MAR-1964
CHI,hit my baby .,04-MAR-1964
FAT,no I won't hit your baby .,04-MAR-1964
FAT,I oughta hit you .,04-MAR-1964
FAT,how_come you got the crayon all over her ?,04-MAR-1964
CHI,bingo .,04-MAR-1964
FAT,did you write on on on Chatty_Baby ?,04-MAR-1964
CHI,0 .,04-MAR-1964
FAT,why ?,04-MAR-1964
CHI,a head .,04-MAR-1964
CHI,xxx .,04-MAR-1964
CHI,xxx .,04-MAR-1964
FAT,what did you write on her for ?,04-MAR-1964
CHI,one two three four .,04-MAR-1964
FAT,where's her dress ?,04-MAR-1964
CHI,no know .,04-MAR-1964
FAT,you want her to catch cold ?,04-MAR-1964
CHI,0 .,04-MAR-1964
FAT,would you like would you like to go go around all days with no clothes on ?,04-MAR-1964
CHI,0 .,04-MAR-1964
FAT,why ?,04-MAR-1964
FAT,because you'd be cold huh .,04-MAR-1964
FAT,hm ?,04-MAR-1964
CHI,I love xxx on it .,04-MAR-1964
FAT,poor Chatty_Baby .,04-MAR-1964
FAT,don't you love Chatty_Baby ?,04-MAR-1964
CHI,0 .,04-MAR-1964
FAT,you do ?,04-MAR-1964
CHI,a r write on back .,04-MAR-1964
FAT,you wrote on her back .,04-MAR-1964
FAT,you should take care of Chatty_Baby .,04-MAR-1964
CHI,I hit xxx .,04-MAR-1964
FAT,you're her Mummy .,04-MAR-1964
CHI,I hit this .,04-MAR-1964
CHI,bad bad bad bad bad .,04-MAR-1964
FAT,bad ?,04-MAR-1964
MOT,xxx not bad .,04-MAR-1964
FAT,it's your baby .,04-MAR-1964
FAT,you're supposed to love her .,04-MAR-1964
MOT,does Mumma hit you all the time ?,04-MAR-1964
CHI,0 .,04-MAR-1964
FAT,only when you're naughty .,04-MAR-1964
CHI,my doggie .,04-MAR-1964
CHI,my doggie .,04-MAR-1964
CHI,my doggie .,04-MAR-1964
FAT,what's his name ?,04-MAR-1964
CHI,doggie .,04-MAR-1964
FAT,what's he say ?,04-MAR-1964
CHI,bow_wowo .,04-MAR-1964
CHI,here .,04-MAR-1964
FAT,what's that ?,04-MAR-1964
CHI,he bite me .,04-MAR-1964
FAT,no he didn't .,04-MAR-1964
FAT,he didn't bite you .,04-MAR-1964
FAT,no he's a nice doggie .,04-MAR-1964
CHI,he tail .,04-MAR-1964
CHI,he xxx tail .,04-MAR-1964
FAT,he's got a tail .,04-MAR-1964
CHI,xxx ?,04-MAR-1964
CHI,I got my doggie too .,04-MAR-1964
FAT,see the red tongue ?,04-MAR-1964
CHI,I got +...,04-MAR-1964
FAT,your tongue is red too .,04-MAR-1964
CHI,0 .,04-MAR-1964
MOT,come on get out_of there .,04-MAR-1964
CHI,I poke my eye out .,04-MAR-1964
MOT,yeah you'll poke your eye out alright .,04-MAR-1964
MOT,did you tell Courtney you broke the door ?,04-MAR-1964
FAT,what's the matter with your eye ?,04-MAR-1964
CHI,xxx .,04-MAR-1964
FAT,leave it alone .,04-MAR-1964
FAT,let me see .,04-MAR-1964
MOT,what color are your eyes ?,04-MAR-1964
FAT,it's alright .,04-MAR-1964
FAT,you got xxx ?,04-MAR-1964
CHI,no xxx .,04-MAR-1964
MOT,they're blue you tell him .,04-MAR-1964
CHI,they're blue .,04-MAR-1964
CHI,xxx .,04-MAR-1964
CHI,my cow .,04-MAR-1964
CHI,you .,04-MAR-1964
MOT,what's the cow's name ?,04-MAR-1964
CHI,Moooc .,04-MAR-1964
CHI,Moooc .,04-MAR-1964
CHI,Moooc .,04-MAR-1964
CHI,Moooc .,04-MAR-1964
CHI,mm .,04-MAR-1964
FAT,is Elsie pretty ?,04-MAR-1964
CHI,0 .,04-MAR-1964
FAT,you don't think she's pretty ?,04-MAR-1964
CHI,cow .,04-MAR-1964
FAT,yeah the cow is pretty .,04-MAR-1964
CHI,he hat on .,04-MAR-1964
CHI,xxx .,04-MAR-1964
CHI,xxx .,04-MAR-1964
FAT,no leave the hat on .,04-MAR-1964
FAT,isn't that a pretty hat ?,04-MAR-1964
CHI,I tie him .,04-MAR-1964
FAT,tie him up ?,04-MAR-1964
CHI,tie him up .,04-MAR-1964
FAT,see Elsie's got lipstick on .,04-MAR-1964
CHI,oh .,04-MAR-1964
FAT,isn't that nice ?,04-MAR-1964
CHI,here for .,04-MAR-1964
CHI,there .,04-MAR-1964
FAT,xxx .,04-MAR-1964
CHI,there .,04-MAR-1964
CHI,right there .,04-MAR-1964
CHI,right there .,04-MAR-1964
FAT,xxx .,04-MAR-1964
CHI,right there .,04-MAR-1964
CHI,right there .,04-MAR-1964
COU,xxx a realistic cow huh !,04-MAR-1964
FAT,that's her nose .,04-MAR-1964
FAT,she's got two noses .,04-MAR-1964
MOT,that's where the milk comes .,04-MAR-1964
CHI,in here xxx .,04-MAR-1964
CHI,xxx here .,04-MAR-1964
CHI,xxx .,04-MAR-1964
FAT,you're confused .,04-MAR-1964
CHI,in here .,04-MAR-1964
CHI,in here .,04-MAR-1964
CHI,in here .,04-MAR-1964
CHI,in here .,04-MAR-1964
FAT,what ?,04-MAR-1964
CHI,in here .,04-MAR-1964
FAT,that's where the milk comes from .,04-MAR-1964
CHI,ssh .,04-MAR-1964
CHI,I want horsie woowoowoob .,04-MAR-1964
FAT,xxx not a horsie .,04-MAR-1964
CHI,xxx .,04-MAR-1964
CHI,he dance .,04-MAR-1964
CHI,he dance .,04-MAR-1964
FAT,who's that ?,04-MAR-1964
MOT,what's his name ?,04-MAR-1964
CHI,Bobo .,04-MAR-1964
CHI,he xxx eye .,04-MAR-1964
CHI,xxx eye .,04-MAR-1964
FAT,let me see his eye .,04-MAR-1964
CHI,eee my pants .,04-MAR-1964
FAT,funny looking pants huh .,04-MAR-1964
CHI,yes .,04-MAR-1964
FAT,look and look at his feet .,04-MAR-1964
FAT,his feet is backwards .,04-MAR-1964
FAT,see ?,04-MAR-1964
CHI,shoe xxx shoe .,04-MAR-1964
FAT,huh ?,04-MAR-1964
CHI,back .,04-MAR-1964
CHI,your shoe here .,04-MAR-1964
CHI,my shoe there .,04-MAR-1964
FAT,your shoes there ?,04-MAR-1964
CHI,there .,04-MAR-1964
FAT,you gonna get new shoes for Easter .,04-MAR-1964
CHI,Easter .,04-MAR-1964
CHI,a hat on .,04-MAR-1964
FAT,he's got a black hat orange hair +/.,04-MAR-1964
CHI,I pull ear .,04-MAR-1964
CHI,I pull ear .,04-MAR-1964
FAT,see and he's got red +/.,04-MAR-1964
MOT,xxx .,04-MAR-1964
MOT,he's got red buttons .,04-MAR-1964
CHI,xxx .,04-MAR-1964
CHI,xxx button .,04-MAR-1964
MOT,it's a button .,04-MAR-1964
CHI,ice seen .,04-MAR-1964
CHI,all wet .,04-MAR-1964
CHI,all wet .,04-MAR-1964
MOT,what ?,04-MAR-1964
CHI,all wet .,04-MAR-1964
MOT,he's not wet .,04-MAR-1964
CHI,hm !,04-MAR-1964
CHI,xxx .,04-MAR-1964
MOT,www .,04-MAR-1964
CHI,xxx my my ukelele .,04-MAR-1964
CHI,oh .,04-MAR-1964
MOT,come here .,04-MAR-1964
MOT,come here come here +...,04-MAR-1964
FAT,you gonna play a song for us ?,04-MAR-1964
CHI,yes .,04-MAR-1964
FAT,what happened to the string ?,04-MAR-1964
CHI,you .,04-MAR-1964
FAT,huh ?,04-MAR-1964
CHI,you .,04-MAR-1964
FAT,I didn't take the strings off .,04-MAR-1964
FAT,you broke them .,04-MAR-1964
CHI,me ?,04-MAR-1964
MOT,xxx .,04-MAR-1964
CHI,no string .,04-MAR-1964
FAT,hey who's that ?,04-MAR-1964
CHI,xxx .,04-MAR-1964
FAT,Bugs_Bunny .,04-MAR-1964
FAT,you're gonna poke his eye out .,04-MAR-1964
FAT,want me to poke your eye out ?,04-MAR-1964
CHI,0 .,04-MAR-1964
FAT,huh ?,04-MAR-1964
FAT,how many eyes you got ?,04-MAR-1964
CHI,two eyes .,04-MAR-1964
FAT,how many nose you got ?,04-MAR-1964
CHI,one nose .,04-MAR-1964
FAT,how many mouths ?,04-MAR-1964
CHI,one mouth .,04-MAR-1964
FAT,one mouth .,04-MAR-1964
CHI,one mouth .,04-MAR-1964
FAT,how many ears ?,04-MAR-1964
CHI,xxx two ears .,04-MAR-1964
FAT,how many fingers have I got ?,04-MAR-1964
CHI,one two three four,04-MAR-1964
FAT,no how many fingers all together ?,04-MAR-1964
CHI,what happen .,04-MAR-1964
CHI,aw !,04-MAR-1964
FAT,dirty hands .,04-MAR-1964
MOT,that intrigues her .,04-MAR-1964
FAT,how many finger have I got all together ?,04-MAR-1964
FAT,I'm talking to you .,04-MAR-1964
CHI,where .,04-MAR-1964
FAT,alright that's good .,04-MAR-1964
FAT,how many fingers have I got all together ?,04-MAR-1964
CHI,one two three four,04-MAR-1964
CHI,one two three four,04-MAR-1964
CHI,that hand ?,04-MAR-1964
FAT,one two three four five .,04-MAR-1964
CHI,one two three four five,04-MAR-1964
FAT,what comes after five ?,04-MAR-1964
CHI,oh !,04-MAR-1964
CHI,what happen then .,04-MAR-1964
FAT,where ?,04-MAR-1964
CHI,what happen ?,04-MAR-1964
FAT,there ?,04-MAR-1964
FAT,Teppy .,04-MAR-1964
CHI,xxx Teppy ?,04-MAR-1964
FAT,Teppy scratched my finger .,04-MAR-1964
CHI,oh bad Teppy right there .,04-MAR-1964
FAT,does does Teppy scratch you ?,04-MAR-1964
MOT,where Teppy scratch her ?,04-MAR-1964
CHI,right there .,04-MAR-1964
FAT,-um it's almost all_gone huh .,04-MAR-1964
FAT,we'll have_to get Teppy to scratch you again .,04-MAR-1964
CHI,again .,04-MAR-1964
FAT,yeah .,04-MAR-1964
CHI,again .,04-MAR-1964
FAT,you want a boo+boo don't you ?,04-MAR-1964
FAT,why ?,04-MAR-1964
MOT,where's your other boo+boo on your on you other hand ?,04-MAR-1964
FAT,oh what happened ?,04-MAR-1964
CHI,xxx .,04-MAR-1964
MOT,that's a new one .,04-MAR-1964
CHI,a new one .,04-MAR-1964
MOT,yeah .,04-MAR-1964
MOT,oh there it is .,04-MAR-1964
FAT,what happened there ?,04-MAR-1964
CHI,no so wet .,04-MAR-1964
CHI,a Teppy again .,04-MAR-1964
FAT,want me to put a bandage on your finger ?,04-MAR-1964
CHI,no bandage .,04-MAR-1964
FAT,no bandage ?,04-MAR-1964
CHI,no bandage .,04-MAR-1964
CHI,Mommy I get my doggie .,04-MAR-1964
CHI,my doggie .,04-MAR-1964
CHI,my doggie xxx .,04-MAR-1964
CHI,xxx .,04-MAR-1964
FAT,it's a funny looking dog .,04-MAR-1964
CHI,yeah .,04-MAR-1964
FAT,where's his xxx eyes ?,04-MAR-1964
CHI,no eye .,04-MAR-1964
FAT,did you take his eyes out ?,04-MAR-1964
FAT,why ?,04-MAR-1964
FAT,how can this doggie see ?,04-MAR-1964
FAT,he'll walk into the sink .,04-MAR-1964
FAT,he might walk into the refrigerator .,04-MAR-1964
FAT,bump his head .,04-MAR-1964
FAT,and hurt himself .,04-MAR-1964
FAT,and you took his eyes out .,04-MAR-1964
FAT,don't you feel sorry ?,04-MAR-1964
CHI,I sorry .,04-MAR-1964
FAT,why ?,04-MAR-1964
FAT,huh ?,04-MAR-1964
CHI,0 .,04-MAR-1964
FAT,where you going now ?,04-MAR-1964
CHI,eye .,04-MAR-1964
CHI,I xxx eye more .,04-MAR-1964
CHI,xxx eye more .,04-MAR-1964
CHI,xxx .,04-MAR-1964
FAT,what ?,04-MAR-1964
CHI,see ?,04-MAR-1964
CHI,xxx ?,04-MAR-1964
CHI,xxx .,04-MAR-1964
FAT,look at the hair .,04-MAR-1964
CHI,xxx ears .,04-MAR-1964
FAT,long ears huh .,04-MAR-1964
CHI,long ears .,04-MAR-1964
FAT,short tail .,04-MAR-1964
CHI,short tail .,04-MAR-1964
CHI,xxx .,04-MAR-1964
CHI,my dollie .,04-MAR-1964
CHI,my baby .,04-MAR-1964
FAT,your baby ?,04-MAR-1964
CHI,my baby xxx .,04-MAR-1964
MOT,watch out you're dribbling .,11-MAR-1964
MOT,over your dish honey .,11-MAR-1964
CHI,xxx me .,11-MAR-1964
MOT,yeah you'll get it all over you .,11-MAR-1964
MOT,want some juice or what ?,11-MAR-1964
MOT,want juice ?,11-MAR-1964
CHI,0 .,11-MAR-1964
MOT,hm ?,11-MAR-1964
MOT,say yes or no .,11-MAR-1964
MOT,do you want some juice ?,11-MAR-1964
MOT,alright .,11-MAR-1964
MOT,xxx finish off the orange juice .,11-MAR-1964
MOT,it's snowing again .,11-MAR-1964
MOT,what crazy weather .,11-MAR-1964
CHI,0 .,11-MAR-1964
GLO,what are you doing Sarah ?,11-MAR-1964
GLO,what are you doing ?,11-MAR-1964
CHI,0 .,11-MAR-1964
MOT,stop it !,11-MAR-1964
GLO,what's Sarah doing ?,11-MAR-1964
MOT,what are you doing honey ?,11-MAR-1964
MOT,hm ?,11-MAR-1964
MOT,what're you doing ?,11-MAR-1964
MOT,what're you doing ?,11-MAR-1964
MOT,what'd you and Daddy do last night ?,11-MAR-1964
MOT,when Mummy went out ?,11-MAR-1964
MOT,huh ?,11-MAR-1964
CHI,yyy .,11-MAR-1964
MOT,your dad yeah what'd you and your Daddy do ?,11-MAR-1964
MOT,were you playing ?,11-MAR-1964
CHI,0 .,11-MAR-1964
MOT,hm ?,11-MAR-1964
MOT,you didn't go to bed untill late huh .,11-MAR-1964
CHI,no .,11-MAR-1964
MOT,Daddy give you ice+cream ?,11-MAR-1964
CHI,0 .,11-MAR-1964
MOT,-um .,11-MAR-1964
CHI,good .,11-MAR-1964
MOT,it was good ?,11-MAR-1964
CHI,yes .,11-MAR-1964
MOT,yeah .,11-MAR-1964
CHI,xxx good .,11-MAR-1964
CHI,xxx it cold .,11-MAR-1964
MOT,it's cold .,11-MAR-1964
CHI,xxx good .,11-MAR-1964
CHI,mm !,11-MAR-1964
CHI,eye .,11-MAR-1964
MOT,are you a good girl ?,11-MAR-1964
CHI,yes .,11-MAR-1964
MOT,hm ?,11-MAR-1964
CHI,yes .,11-MAR-1964
MOT,why don't you say your piece for Courtney for -uh Gloria .,11-MAR-1964
CHI,piece .,11-MAR-1964
MOT,"alright +""/.",11-MAR-1964
MOT,"+"" Sarah .",11-MAR-1964
CHI,my Sarah Barnes .,11-MAR-1964
MOT,"+"" all .",11-MAR-1964
CHI,all world .,11-MAR-1964
MOT,"+"" all the world +...",11-MAR-1964
CHI,rings .,11-MAR-1964
MOT,"+"" rings with +...",11-MAR-1964
CHI,my fame .,11-MAR-1964
MOT,your fame .,11-MAR-1964
CHI,I dance .,11-MAR-1964
MOT,"no +""/.",11-MAR-1964
MOT,"+"" I sing .",11-MAR-1964
CHI,sing .,11-MAR-1964
MOT,Iq +...,11-MAR-1964
CHI,I dance .,11-MAR-1964
MOT,"yeah +""/.",11-MAR-1964
MOT,"+"" xxx .",11-MAR-1964
CHI,xxx .,11-MAR-1964
MOT,"+"" xxx .",11-MAR-1964
CHI,yyy but me .,11-MAR-1964
MOT,"+"" everyone but me +...",11-MAR-1964
CHI,yyy but me .,11-MAR-1964
MOT,"+"" out_of +...",11-MAR-1964
CHI,0 .,11-MAR-1964
MOT,"+"" out_of step !",11-MAR-1964
CHI,out step !,11-MAR-1964
MOT,yeah .,11-MAR-1964
MOT,you going to dancing school tomorrow ?,11-MAR-1964
CHI,tomorrow .,11-MAR-1964
MOT,tomorrow .,11-MAR-1964
MOT,what's your teacher's name ?,11-MAR-1964
MOT,who's the teacher's name ?,11-MAR-1964
CHI,yyy .,11-MAR-1964
MOT,huh ?,11-MAR-1964
CHI,yyy .,11-MAR-1964
MOT,Esther !,11-MAR-1964
CHI,Esther .,11-MAR-1964
MOT,yeah Esther .,11-MAR-1964
MOT,do you like dancing school ?,11-MAR-1964
MOT,hm ?,11-MAR-1964
CHI,my dance school .,11-MAR-1964
MOT,sit up straight honey .,11-MAR-1964
MOT,you love dancing+school huh .,11-MAR-1964
CHI,I love my dance school .,11-MAR-1964
CHI,where dance school go ?,11-MAR-1964
MOT,what's that other song ?,11-MAR-1964
CHI,xxx .,11-MAR-1964
MOT,what about all the songs you've been singing on tv with the little girls ?,11-MAR-1964
MOT,hm ?,11-MAR-1964
MOT,you don't know them ?,11-MAR-1964
CHI,know them .,11-MAR-1964
CHI,xxx my orange juice .,11-MAR-1964
CHI,go cold .,11-MAR-1964
MOT,it's cold huh .,11-MAR-1964
CHI,-um .,11-MAR-1964
MOT,it's supposed to be .,11-MAR-1964
CHI,xxx .,11-MAR-1964
MOT,watch out you're gonna fall .,11-MAR-1964
CHI,no .,11-MAR-1964
MOT,oh yes you are .,11-MAR-1964
CHI,no .,11-MAR-1964
CHI,oop .,11-MAR-1964
CHI,whoop .,11-MAR-1964
MOT,you don't want any more breakfast ?,11-MAR-1964
MOT,hm ?,11-MAR-1964
MOT,whose girl are you ?,11-MAR-1964
CHI,Mommy girl !,11-MAR-1964
CHI,whoo !,11-MAR-1964
MOT,you're gonna fall .,11-MAR-1964
CHI,where ?,11-MAR-1964
MOT,right down on the floor .,11-MAR-1964
CHI,floor .,11-MAR-1964
CHI,xxx .,11-MAR-1964
MOT,what're you making faces for ?,11-MAR-1964
MOT,you bashful ?,11-MAR-1964
CHI,0 .,11-MAR-1964
MOT,huh ?,11-MAR-1964
MOT,you are ?,11-MAR-1964
CHI,xxx yyy you .,11-MAR-1964
MOT,you bashful ?,11-MAR-1964
CHI,yyy clown .,11-MAR-1964
CHI,yyy clown .,11-MAR-1964
MOT,not a clown .,11-MAR-1964
CHI,clown .,11-MAR-1964
MOT,oh what about all the clowns you saw Sunday ?,11-MAR-1964
MOT,and Major Mutt .,11-MAR-1964
MOT,and Jimmy Balentine ?,11-MAR-1964
CHI,Balentine .,11-MAR-1964
MOT,yeah .,11-MAR-1964
CHI,yyy too .,11-MAR-1964
MOT,who ?,11-MAR-1964
CHI,yyy .,11-MAR-1964
MOT,oh the oh Flip_flop yeah Flip_Flop .,11-MAR-1964
MOT,and who else did you see ?,11-MAR-1964
CHI,Bobo clown .,11-MAR-1964
MOT,Bozo the clown +...,11-MAR-1964
MOT,and the princess .,11-MAR-1964
CHI,princess .,11-MAR-1964
MOT,yeah .,11-MAR-1964
MOT,you saw lots_of them huh .,11-MAR-1964
CHI,yes .,11-MAR-1964
MOT,you gonna go again next year ?,11-MAR-1964
CHI,next year .,11-MAR-1964
CHI,princess .,11-MAR-1964
CHI,here .,11-MAR-1964
MOT,princess is gone .,11-MAR-1964
CHI,where ?,11-MAR-1964
MOT,I don't know .,11-MAR-1964
MOT,she's gone back to here reservation the Indian reservation .,11-MAR-1964
CHI,where ?,11-MAR-1964
MOT,in the country I suppose .,11-MAR-1964
CHI,xxx .,11-MAR-1964
MOT,did you see Nana today ?,11-MAR-1964
MOT,did you see her this morning ?,11-MAR-1964
CHI,wow .,11-MAR-1964
CHI,whee .,11-MAR-1964
CHI,oh oh .,11-MAR-1964
CHI,xxx candy xxx .,11-MAR-1964
CHI,yyy .,11-MAR-1964
MOT,want me to put it on ?,11-MAR-1964
MOT,why ?,11-MAR-1964
CHI,no .,11-MAR-1964
MOT,don't you like the vacuum cleaner ?,11-MAR-1964
CHI,no .,11-MAR-1964
MOT,won't you +...,11-MAR-1964
MOT,don't you want Mummy to go clean the rug ?,11-MAR-1964
CHI,no .,11-MAR-1964
MOT,no ?,11-MAR-1964
MOT,come here I want to tell you a secret .,11-MAR-1964
CHI,yyy ?,11-MAR-1964
CHI,yyy ?,11-MAR-1964
MOT,I won't put the vacuum cleaner on if you drink all your juice .,11-MAR-1964
MOT,you drink all your juice and I won't put the vacuum cleaner +...,11-MAR-1964
MOT,there's Auntie Marian .,11-MAR-1964
CHI,where ?,11-MAR-1964
MOT,right there .,11-MAR-1964
