id, age, gender,word, rt
1,42,Female,about,0.176259995
1,42,Female,in,0.178974867
1,42,Female,the,0.181692123
1,42,Female,river,0.217221022
1,42,Female,than,0.209252834
1,42,Female,to,0.177987099
1,42,Female,climb,0.192205906
1,42,Female,the,0.18888092
1,42,Female,slippery,0.164201021
1,42,Female,banks,0.160116911
1,42,Female,and,0.145546913
1,42,Female,sit,0.147394896
1,42,Female,under,0.138468981
1,42,Female,a,0.119113922
1,42,Female,burdock,0.153707981
1,42,Female,leaf,0.163393021
1,42,Female,to,0.146703005
1,42,Female,have,0.159985065
1,42,Female,a,0.144499063
1,42,Female,gossip,0.135267019
1,42,Female,with,0.154184103
1,42,Female,her,0.163676023
1,42,Female,At,0.169916153
1,42,Female,length,0.140368938
1,42,Female,one,0.142571926
1,42,Female,shell,0.153069019
1,42,Female,cracked,0.152513027
1,42,Female,and,0.151483059
1,42,Female,then,0.153475046
1,42,Female,another,0.164448023
1,42,Female,and,0.158339977
1,42,Female,from,0.154510975
1,42,Female,each,0.151065826
1,42,Female,egg,0.163815022
1,42,Female,came,0.14910388
1,42,Female,a,0.151287794
1,42,Female,living,0.16347909
1,42,Female,creature,0.155345917
1,42,Female,that,0.14523387
1,42,Female,lifted,0.16544199
1,42,Female,its,0.172909021
1,42,Female,head,0.141486883
1,42,Female,and,0.177397013
1,42,Female,cried,0.157558918
1,42,Female,Peep,0.153571129
1,42,Female,peep,0.16672802
1,42,Female,Quack,0.169089079
1,42,Female,quack,0.166165829
1,42,Female,said,0.179728985
1,42,Female,the,0.182523012
1,42,Female,mother,0.173089027
1,42,Female,and,0.164274931
1,42,Female,then,0.177608967
1,42,Female,they,0.157156944
1,42,Female,all,0.154073
1,42,Female,quacked,0.150902987
1,42,Female,as,0.164973974
1,42,Female,well,0.177522182
1,42,Female,as,0.17931819
1,42,Female,they,0.193269014
1,42,Female,could,0.179442883
1,42,Female,and,0.149095058
1,42,Female,looked,0.155222893
1,42,Female,about,0.141242981
1,42,Female,them,0.153686047
1,42,Female,on,0.168958902
1,42,Female,every,0.157860994
1,42,Female,side,0.166284084
1,42,Female,at,0.164784908
1,42,Female,the,0.142324209
1,42,Female,large,0.166723013
1,42,Female,green,0.143198013
1,42,Female,leaves,0.156723976
1,42,Female,Their,0.175822973
1,42,Female,mother,0.167128086
1,42,Female,allowed,0.143540144
1,42,Female,them,0.156686068
1,42,Female,to,0.164602995
1,42,Female,look,0.165223122
1,42,Female,as,0.163290024
1,42,Female,much,0.176229954
1,42,Female,as,0.132922173
1,42,Female,they,0.142217875
1,42,Female,liked,0.155497074
1,42,Female,because,0.162544012
1,42,Female,green,0.164512873
1,42,Female,is,0.151000977
1,42,Female,good,0.16844511
1,42,Female,for,0.165822983
1,42,Female,the,0.178842068
1,42,Female,eyes,0.182267904
1,42,Female,How,0.150469065
1,42,Female,large,0.135972023
1,42,Female,the,0.149378061
1,42,Female,world,0.162288904
1,42,Female,is,0.159507036
1,42,Female,said,0.166697979
1,42,Female,the,0.162776947
1,42,Female,young,0.160742998
1,42,Female,ducks,0.168926954
1,42,Female,when,0.137043953
1,42,Female,they,0.165983915
1,42,Female,found,0.15810895
1,42,Female,how,0.155232906
1,42,Female,much,0.162378073
1,42,Female,more,0.1489079
1,42,Female,room,0.110764027
1,42,Female,they,0.15794301
1,42,Female,now,0.188906908
1,42,Female,had,0.151384115
1,42,Female,than,0.153260946
1,42,Female,while,0.153520107
1,42,Female,they,0.174356937
1,42,Female,were,0.165866852
1,42,Female,inside,0.162532091
1,42,Female,the,0.137002945
1,42,Female,eggshell,0.164131165
1,42,Female,Do,0.168976068
1,42,Female,you,0.16594696
1,42,Female,imagine,0.179856062
1,42,Female,this,0.182544947
1,42,Female,is,0.184967041
1,42,Female,the,0.172443151
1,42,Female,whole,0.149554014
1,42,Female,world,0.186034918
1,42,Female,asked,0.127037048
1,42,Female,the,0.155995131
1,42,Female,mother,0.152762175
1,42,Female,Wait,0.155256033
1,42,Female,till,0.151000023
1,42,Female,you,0.210229874
1,42,Female,have,0.088613987
1,42,Female,seen,0.175109148
1,42,Female,the,0.188138008
1,42,Female,garden,0.173841953
1,42,Female,it,0.142610073
1,42,Female,stretches,0.156352997
1,42,Female,far,0.175100803
1,42,Female,beyond,0.233685017
1,42,Female,that,0.220201015
1,42,Female,to,0.194787979
1,42,Female,the,0.18157196
1,42,Female,parsons,0.160477161
1,42,Female,field,0.123947144
1,42,Female,but,0.131867886
1,42,Female,I,0.149649858
1,42,Female,have,0.219210863
1,42,Female,never,0.200018883
1,42,Female,ventured,0.123286963
1,42,Female,to,0.17575717
1,42,Female,such,0.076582909
1,42,Female,a,0.11252594
1,42,Female,distance,0.135972977
1,42,Female,Are,0.115199089
1,42,Female,you,0.116627932
1,42,Female,all,0.129705906
1,42,Female,out,0.148268938
