,time_stamp,consent,id,age,gender,fluent_in_danish,video,condition,text
0,2021_Dec_08_1459,Ja,bord,22,Kvinde,Ja,3,No noise with video,drengen kastede frisbeen over hækken og fik en rød bold tilbage fra naboen
1,2021_Dec_08_1459,Ja,bord,22,Kvinde,Ja,2,No noise without video,pigen hentede blomster på marken og gav en smuk buket til moren
2,2021_Dec_08_1459,Ja,bord,22,Kvinde,Ja,1,Noise without video,
3,2021_Dec_08_1459,Ja,bord,22,Kvinde,Ja,0,Noise with video,manden samlede bolden op under trampolinen og fik en slikkepind
