,time_stamp,global_time,ID,word,reaction_time
0,2021_Nov_02_0919,2.3800093999598175,majesticcupcake,rabbit,2.380005900049582
1,2021_Nov_02_0919,3.6841123999329284,majesticcupcake,cat,1.2932839000131935
2,2021_Nov_02_0919,4.821036199922673,majesticcupcake,cow,1.1319835999747738
3,2021_Nov_02_0919,5.752445399994031,majesticcupcake,dog,0.926335999974981
4,2021_Nov_02_0919,9.674607099965215,majesticcupcake,sealion,3.9175520000280812
5,2021_Nov_02_0919,12.060440699919127,majesticcupcake,seahorse,2.381571099977009
6,2021_Nov_02_0919,16.45112799992785,majesticcupcake,mouse,4.386045000050217
7,2021_Nov_02_0919,19.16781649994664,majesticcupcake,moose,2.7122888999292627
8,2021_Nov_02_0919,24.066430200007744,majesticcupcake,bat,4.894161999924108
9,2021_Nov_02_0919,27.58759549993556,majesticcupcake,bird,3.5168390000471845
10,2021_Nov_02_0919,29.232386799994856,majesticcupcake,robbin,1.6392679000273347
11,2021_Nov_02_0919,30.848931499989703,majesticcupcake,sparrow,1.6117411999730393
12,2021_Nov_02_0919,34.51166789990384,majesticcupcake,swan,3.6585596000077203
13,2021_Nov_02_0919,37.75202779995743,majesticcupcake,eagle,3.2358442000113428
14,2021_Nov_02_0919,46.68566859990824,majesticcupcake,turtle,8.929356200038455
15,2021_Nov_02_0919,52.95654339995235,majesticcupcake,whale,6.266538999974728
16,2021_Nov_02_0919,54.13107659993693,majesticcupcake,shark,1.1686370000243187
17,2021_Nov_02_0919,59.69788539991714,majesticcupcake,dolphine,5.5621544000459835
18,2021_Nov_02_0919,76.14359719993081,majesticcupcake,seagull,16.441263900022022
19,2021_Nov_02_0919,77.71957650000695,majesticcupcake,dowe,1.5712936000199988
20,2021_Nov_02_0919,81.23426800000016,majesticcupcake,pigeon,3.5096621999982744
21,2021_Nov_02_0919,85.6401571999304,majesticcupcake,snake,4.400734500028193
22,2021_Nov_02_0919,91.63721129996702,majesticcupcake,tarantula,5.990550399990752
23,2021_Nov_02_0919,93.27516659989487,majesticcupcake,spider,1.633628400042653
24,2021_Nov_02_0919,100.14402439992409,majesticcupcake,giraf,6.864388999994844
25,2021_Nov_02_0919,101.93971679999959,majesticcupcake,zebra,1.7914451999822631
26,2021_Nov_02_0919,107.2639447998954,majesticcupcake,hippopotamus,5.3196650999598205
27,2021_Nov_02_0919,118.19589249999262,majesticcupcake,worm,10.92721549991984
28,2021_Nov_02_0919,126.77415529999416,majesticcupcake,sheep,8.57409040001221
29,2021_Nov_02_0919,128.1370939000044,majesticcupcake,lama,1.3582784000318497
30,2021_Nov_02_0919,135.51860949990805,majesticcupcake,lam,7.3773396000033244
31,2021_Nov_02_0919,138.0753224999644,majesticcupcake,kitten,2.5523883999558166
32,2021_Nov_02_0919,142.02281120000407,majesticcupcake,poppy,3.9428369000088423
33,2021_Nov_02_0919,148.764502099948,majesticcupcake,lizard,6.7371437000110745
34,2021_Nov_02_0919,154.75790989992674,majesticcupcake,kangaru,5.9889953000238165
35,2021_Nov_02_0919,162.3037420999026,majesticcupcake,abe,7.541211399948224
36,2021_Nov_02_0919,163.85515499999747,majesticcupcake,monkey,1.546321399975568
37,2021_Nov_02_0919,167.35465519991703,majesticcupcake,bonobo,3.4952143999980763
38,2021_Nov_02_0919,171.52607099991292,majesticcupcake,jagur,4.167233900050633
39,2021_Nov_02_0919,175.42281769996043,majesticcupcake,lion,3.8922873999690637
40,2021_Nov_02_0919,176.82244919997174,majesticcupcake,tiger,1.3944780000019819
41,2021_Nov_02_0919,181.11265169992112,majesticcupcake,lepard,4.2858714000321925
42,2021_Nov_02_0919,186.13401799998246,majesticcupcake,gazel,5.0165736000053585
43,2021_Nov_02_0919,191.0324141999008,majesticcupcake,elephant,4.893411400029436
44,2021_Nov_02_0919,197.9124536999734,majesticcupcake,octopus,6.875296299927868
