,time_stamp,global_time,ID,word,reaction_time
0,2021_Nov_02_0917,2.3394271849974757,Ditlev,bull,2.339422517998173
1,2021_Nov_02_0917,4.303303114997107,Ditlev,bird,1.9435309799991956
2,2021_Nov_02_0917,5.784207439999591,Ditlev,dog,1.4762126319983508
3,2021_Nov_02_0917,7.507118754998373,Ditlev,cat,1.718172685999889
4,2021_Nov_02_0917,11.166527700999723,Ditlev,bear,3.6547178229993733
5,2021_Nov_02_0917,13.446132327997475,Ditlev,fox,2.2738373079992016
6,2021_Nov_02_0917,17.07704065500002,Ditlev,crow,3.6261807100017904
7,2021_Nov_02_0917,22.378857747997245,Ditlev,dolphin,5.297117757003434
8,2021_Nov_02_0917,23.915768734997982,Ditlev,tuna,1.532175191998249
9,2021_Nov_02_0917,27.042589925000357,Ditlev,whale,3.122119481999107
10,2021_Nov_02_0917,33.31573640900024,Ditlev,magpie,6.268457357000443
11,2021_Nov_02_0917,36.36737711299793,Ditlev,kangaroo,3.04696111299927
12,2021_Nov_02_0917,39.41823712000041,Ditlev,dingo,3.0458655590009585
13,2021_Nov_02_0917,41.42923208499997,Ditlev,lion,2.0061946239984536
14,2021_Nov_02_0917,42.49024622499928,Ditlev,tiger,1.056345335997321
15,2021_Nov_02_0917,44.49717804899774,Ditlev,elephant,2.0022467140006484
16,2021_Nov_02_0917,48.269913615000405,Ditlev,hippo,3.7680556339983013
17,2021_Nov_02_0917,53.34474468799817,Ditlev,crocodile,5.070164149001357
18,2021_Nov_02_0917,57.48463175899815,Ditlev,panda,4.135203526999248
19,2021_Nov_02_0917,60.362533067000186,Ditlev,red panda,2.873206303000188
20,2021_Nov_02_0917,64.79325668999809,Ditlev,monkey,4.426034258001891
21,2021_Nov_02_0917,73.6811156799995,Ditlev,panther,8.883152307000273
22,2021_Nov_02_0917,77.57155131899708,Ditlev,cheetah,3.885605139999825
23,2021_Nov_02_0917,87.25312018799741,Ditlev,pig,9.676875913999538
24,2021_Nov_02_0917,88.2147498589984,Ditlev,cow,0.9569545880003716
25,2021_Nov_02_0917,91.99588920099995,Ditlev,sheep,3.776464931997907
26,2021_Nov_02_0917,93.7638038619989,Ditlev,goat,1.7632304210019356
27,2021_Nov_02_0917,97.57453444499697,Ditlev,horse,3.8060402019982575
28,2021_Nov_02_0917,100.58550455899967,Ditlev,mule,3.0062818309997965
29,2021_Nov_02_0917,107.82461036299719,Ditlev,donkey,7.234380517002137
30,2021_Nov_02_0917,111.05623428000035,Ditlev,lizard,3.2269358769990504
31,2021_Nov_02_0917,115.48414817499724,Ditlev,seagull,4.423137999001483
32,2021_Nov_02_0917,117.79362009800025,Ditlev,pigeon,2.3047506470029475
33,2021_Nov_02_0917,120.06279332299891,Ditlev,parat,2.264251628999773
34,2021_Nov_02_0917,138.58457254399764,Ditlev,tardigrade,18.516557181999815
35,2021_Nov_02_0917,148.26488427499862,Ditlev,jellyfish,9.67559995800184
36,2021_Nov_02_0917,154.92739564599833,Ditlev,shark,6.65545328999724
37,2021_Nov_02_0917,159.00596238599974,Ditlev,octopus,4.07385972100019
38,2021_Nov_02_0917,163.0624211309987,Ditlev,owl,4.051625525997224
39,2021_Nov_02_0917,164.87383159199817,Ditlev,mouse,1.8041152869991492
40,2021_Nov_02_0917,167.45179441199798,Ditlev,rat,2.572679930999584
41,2021_Nov_02_0917,184.2261455959997,Ditlev,polar bear,16.76965230499991
42,2021_Nov_02_0917,191.83935758099688,Ditlev,grizley,7.608499904999917
43,2021_Nov_02_0917,198.91870306999772,Ditlev,reindeer,7.074012424000102
