,time_stamp,global_time,ID,word,reaction_time
0,2020_Nov_06_1451,1.810635200003162,Jorge,dog,1.8106383999984246
1,2020_Nov_06_1451,2.609588400024222,Jorge,cat,0.7890454999869689
2,2020_Nov_06_1451,4.102330800000345,Jorge,giraffe,1.4846813000040129
3,2020_Nov_06_1451,5.232180100021651,Jorge,leopard,1.122762299986789
4,2020_Nov_06_1451,7.516835300019011,Jorge,elephant,2.277224899997236
5,2020_Nov_06_1451,9.410339300025953,Jorge,zebra,1.8859557999821845
6,2020_Nov_06_1451,10.036870900017675,Jorge,cow,0.6227472000173293
7,2020_Nov_06_1451,13.143684700015001,Jorge,mosquito,3.098867099994095
8,2020_Nov_06_1451,17.775264800002333,Jorge,polar bear,4.6271036000107415
9,2020_Nov_06_1451,20.434299600019585,Jorge,ox,2.653174399980344
10,2020_Nov_06_1451,22.691449000005377,Jorge,crocodile,2.2502861999964807
11,2020_Nov_06_1451,23.770235500007402,Jorge,snake,1.0720674000040162
12,2020_Nov_06_1451,25.43446680001216,Jorge,bird,1.659856900019804
13,2020_Nov_06_1451,27.03108610000345,Jorge,swan,1.589240700006485
14,2020_Nov_06_1451,34.26246150000952,Jorge,fish,7.22647640001378
15,2020_Nov_06_1451,35.39164380001603,Jorge,whale,1.1213316999783274
16,2020_Nov_06_1451,47.706805300025735,Jorge,mouse,12.306522500002757
17,2020_Nov_06_1451,48.2181107000215,Jorge,rat,0.5057101999991573
18,2020_Nov_06_1451,52.85108829999808,Jorge,bison,4.625179299997399
