,time_stamp,global_time,ID,word,reaction_time
0,2021_Nov_01_2042,2.513022599974647,1,horse,2.5130217999685556
1,2021_Nov_01_2042,3.4625834999606013,1,duck,0.9446419000159949
2,2021_Nov_01_2042,4.54051789996447,1,cow,1.074930000002496
3,2021_Nov_01_2042,5.95736030000262,1,dog,1.4135128000052646
4,2021_Nov_01_2042,7.1480487999506295,1,cat,1.187460999994073
5,2021_Nov_01_2042,8.787896599969827,1,lemur,1.6365350999985822
6,2021_Nov_01_2042,10.580939499952365,1,monkey,1.7897001000237651
7,2021_Nov_01_2042,13.147000600001775,1,chimpanzee,2.56283650000114
8,2021_Nov_01_2042,14.024877199961338,1,human,0.8742888999986462
9,2021_Nov_01_2042,15.57794719998492,1,homo sapiens,1.5497022999916226
10,2021_Nov_01_2042,20.89327229995979,1,dragon,5.312401000002865
11,2021_Nov_01_2042,21.986891699954867,1,lion,1.0905154999927618
12,2021_Nov_01_2042,24.0362948999973,1,cheetah,2.046097100013867
13,2021_Nov_01_2042,28.332833599997684,1,pelican,4.293337100010831
