,time_stamp,global_time,ID,word,reaction_time
0,2021_Nov_02_0924,1.4836567000020295,Laurits,dog,1.483641600003466
1,2021_Nov_02_0924,2.307357499958016,Laurits,cat,0.8193567000562325
2,2021_Nov_02_0924,4.481466299970634,Laurits,mouse,2.1707550000865012
3,2021_Nov_02_0924,5.493511199951172,Laurits,rat,1.0082689999835566
4,2021_Nov_02_0924,10.299512599944137,Laurits,polar bear,4.802463600062765
5,2021_Nov_02_0924,12.38696109992452,Laurits,penguin,2.0836788000306115
6,2021_Nov_02_0924,15.217107499949634,Laurits,narwhale,2.826362800085917
7,2021_Nov_02_0924,16.443471199949272,Laurits,shark,1.2229516999796033
8,2021_Nov_02_0924,18.254355699988082,Laurits,whale,1.8073880999581888
9,2021_Nov_02_0924,22.11036749999039,Laurits,octopuss,3.852275999961421
10,2021_Nov_02_0924,23.069002399919555,Laurits,panda,0.9544458000455052
11,2021_Nov_02_0924,29.01495519990567,Laurits,seal,5.942193399998359
12,2021_Nov_02_0924,38.459855699911714,Laurits,ostritch,9.441443499992602
13,2021_Nov_02_0924,42.693888999987394,Laurits,elephant,4.230222899932414
14,2021_Nov_02_0924,45.964884299901314,Laurits,giraffe,3.2674005000153556
15,2021_Nov_02_0924,52.426812099991366,Laurits,reindeer,6.456137900007889
16,2021_Nov_02_0924,53.759952699998394,Laurits,deer,1.3299103999743238
17,2021_Nov_02_0924,54.953245499986224,Laurits,moose,1.1899505999172106
18,2021_Nov_02_0924,56.126760199898854,Laurits,eagle,1.1699726999504492
19,2021_Nov_02_0924,60.63587479991838,Laurits,pig,4.505818399949931
20,2021_Nov_02_0924,61.782014500000514,Laurits,horse,1.1428552999859676
21,2021_Nov_02_0924,62.42233089997899,Laurits,cow,0.6346462999936193
22,2021_Nov_02_0924,66.72122039995156,Laurits,goat,4.295562600018457
23,2021_Nov_02_0924,68.9158965999959,Laurits,chiken,2.191404299926944
24,2021_Nov_02_0924,71.45339389995206,Laurits,fox,2.533968700096011
25,2021_Nov_02_0924,73.02284089999739,Laurits,badger,1.563906199997291
26,2021_Nov_02_0924,74.58080789993983,Laurits,hamster,1.5525209000334144
27,2021_Nov_02_0924,83.53552469995338,Laurits,sparrow,8.951097100041807
28,2021_Nov_02_0924,86.62539989990182,Laurits,pigeon,3.0863864000421017
29,2021_Nov_02_0924,88.6286839999957,Laurits,seagull,1.9998413999564946
30,2021_Nov_02_0924,108.7934954999946,Laurits,crab,20.161312900017947
31,2021_Nov_02_0924,111.8355102998903,Laurits,seahorse,3.0387557999929413
32,2021_Nov_02_0924,124.72426669998094,Laurits,lion,12.885444000014104
33,2021_Nov_02_0924,127.15454399993178,Laurits,tiger,2.4258777999784797
34,2021_Nov_02_0924,158.95075079996604,Laurits,wolf,31.792900200001895
35,2021_Nov_02_0924,174.64172539999709,Laurits,snake,15.687412699917331
36,2021_Nov_02_0924,177.33105329994578,Laurits,scorpion,2.6858797000022605
37,2021_Nov_02_0924,179.14438539999537,Laurits,spider,1.8097680999198928
38,2021_Nov_02_0924,183.4456183000002,Laurits,python,4.295756499981508
39,2021_Nov_02_0924,197.32591059990227,Laurits,fly,13.877030599978752
