,time_stamp,global_time,ID,word,reaction_time
0,2020_Nov_06_1239,2.5083532000426203,MK,lion,2.5083531999844126
1,2020_Nov_06_1239,3.8041706000221893,MK,tiger,1.284072800015565
2,2020_Nov_06_1239,5.2040983000188135,MK,elephant,1.3891428000060841
3,2020_Nov_06_1239,6.484776600031182,MK,robin,1.2682825999800116
4,2020_Nov_06_1239,10.676657200034242,MK,lizard,4.18019640003331
5,2020_Nov_06_1239,13.022820400015917,MK,cheetah,2.3365087999845855
6,2020_Nov_06_1239,15.193493099999614,MK,jaguar,2.1590202000224963
7,2020_Nov_06_1239,18.215522800048348,MK,gorilla,3.0106560999993235
8,2020_Nov_06_1239,20.236539600009564,MK,monkey,2.0100413000327535
9,2020_Nov_06_1239,22.14264530001674,MK,chimpanzee,1.8925634000333957
10,2020_Nov_06_1239,24.62580400001025,MK,giraffe,2.4726131000206806
11,2020_Nov_06_1239,27.242250900017098,MK,blue whale,2.6042994000017643
12,2020_Nov_06_1239,30.54256290005287,MK,shark,3.28926719998708
13,2020_Nov_06_1239,33.10624860000098,MK,octopus,2.554219599987846
14,2020_Nov_06_1239,36.92536990001099,MK,eal,3.8027351000346243
15,2020_Nov_06_1239,38.47636520001106,MK,dinosaur,1.5397244999767281
16,2020_Nov_06_1239,42.74750240001595,MK,eagle,4.258971700037364
17,2020_Nov_06_1239,49.19669960002648,MK,cat,6.4378737000515684
18,2020_Nov_06_1239,49.91121060005389,MK,dog,0.7027762999641709
19,2020_Nov_06_1239,52.64687990001403,MK,rat,2.7251730000134557
20,2020_Nov_06_1239,54.087648900051136,MK,mouse,1.4291929000173695
21,2020_Nov_06_1239,63.85286810004618,MK,rhino,9.752286300004926
22,2020_Nov_06_1239,75.71350610000081,MK,bear,11.849059299973305
23,2020_Nov_06_1239,99.52570880000712,MK,hippo,23.802408799994737
